Initial error before optimization: 2471694.3100011465
Initial error: 2.47169e+06, values: 1228
iter      cost      cost_change    lambda  success iter_time
  72  2.583167e+05    1.87e+03    1.00e+04     1    5.71e-03
  73  4.601903e+05   -2.02e+05    1.00e+03     1    6.60e-03
  73  2.564727e+05    1.84e+03    1.00e+04     1    6.19e-03
  74  4.618132e+05   -2.05e+05    1.00e+03     1    7.45e-03
  74  2.546588e+05    1.81e+03    1.00e+04     1    6.57e-03
  75  4.632822e+05   -2.09e+05    1.00e+03     1    5.90e-03
  75  2.528748e+05    1.78e+03    1.00e+04     1    6.90e-03
  76  4.645914e+05   -2.12e+05    1.00e+03     1    6.43e-03
  76  2.511206e+05    1.75e+03    1.00e+04     1    7.04e-03
  77  4.657360e+05   -2.15e+05    1.00e+03     1    6.47e-03
  77  2.493958e+05    1.72e+03    1.00e+04     1    6.54e-03
  78  4.667122e+05   -2.17e+05    1.00e+03     1    6.41e-03
  78  2.477002e+05    1.70e+03    1.00e+04     1    6.60e-03
  79  4.675173e+05   -2.20e+05    1.00e+03     1    5.99e-03
  79  2.460333e+05    1.67e+03    1.00e+04     1    5.80e-03
  80  4.681493e+05   -2.22e+05    1.00e+03     1    6.27e-03
  80  2.443946e+05    1.64e+03    1.00e+04     1    5.81e-03
  81  4.686073e+05   -2.24e+05    1.00e+03     1    6.36e-03
  81  2.427836e+05    1.61e+03    1.00e+04     1    6.53e-03
  82  4.688907e+05   -2.26e+05    1.00e+03     1    6.30e-03
  82  2.411996e+05    1.58e+03    1.00e+04     1    6.24e-03
  83  4.689998e+05   -2.28e+05    1.00e+03     1    6.52e-03
  83  2.396416e+05    1.56e+03    1.00e+04     1    6.39e-03
  84  4.689357e+05   -2.29e+05    1.00e+03     1    6.94e-03
  84  2.381089e+05    1.53e+03    1.00e+04     1    6.41e-03
  85  4.686999e+05   -2.31e+05    1.00e+03     1    6.21e-03
  85  2.366003e+05    1.51e+03    1.00e+04     1    6.64e-03
  86  4.682944e+05   -2.32e+05    1.00e+03     1    6.70e-03
  86  2.351146e+05    1.49e+03    1.00e+04     1    6.94e-03
  87  4.677220e+05   -2.33e+05    1.00e+03     1    6.25e-03
  87  2.336505e+05    1.46e+03    1.00e+04     1    6.60e-03
  88  4.669859e+05   -2.33e+05    1.00e+03     1    6.28e-03
  88  2.322063e+05    1.44e+03    1.00e+04     1    6.78e-03
  89  4.660898e+05   -2.34e+05    1.00e+03     1    6.17e-03
  89  2.307805e+05    1.43e+03    1.00e+04     1    7.03e-03
  90  4.650379e+05   -2.34e+05    1.00e+03     1    5.78e-03
  90  2.293712e+05    1.41e+03    1.00e+04     1    5.97e-03
  91  4.638347e+05   -2.34e+05    1.00e+03     1    7.07e-03
  91  2.279761e+05    1.40e+03    1.00e+04     1    5.94e-03
  92  4.624850e+05   -2.35e+05    1.00e+03     1    7.16e-03
  92  2.265932e+05    1.38e+03    1.00e+04     1    6.73e-03
  93  4.609938e+05   -2.34e+05    1.00e+03     1    6.94e-03
  93  2.252200e+05    1.37e+03    1.00e+04     1    6.83e-03
  94  4.593656e+05   -2.34e+05    1.00e+03     1    6.65e-03
  94  2.238540e+05    1.37e+03    1.00e+04     1    6.34e-03
